nif	year	amortizacion
"B08988149"	2012	-133.778
"B46121000"	2015	-133.775
"A08026627"	2011	-133.755
"A01002864"	2012	-133.736
"A21008727"	2014	-133.734
"A20034286"	2011	-133.709
"A01012293"	2010	-133.692
"A08276438"	2007	-133.642
"B26011627"	2017	-133.629
"A20024568"	2014	-133.629
"A28324630"	2012	-133.528
"A28543809"	2010	-133.524
"A08639643"	2017	-133.479
"B08284002"	2016	-133.454
"B50023142"	2011	-133.441
"B30041115"	2009	-133.418
"B60552619"	2011	-133.322
"B12536934"	2013	-133.292
"A23019342"	2011	-133.202
"A80732142"	2014	-133.2
"A12027488"	2017	-133.188
"A08192965"	2017	-133.184
"A28505345"	2015	-133.137
"A84430107"	2015	-133.131
"A28618890"	2013	-133.129
"A39008305"	2015	-133.123
"A28427516"	2014	-133.107
"A05122460"	2010	-133.107
"A08708620"	2013	-133.064
"A80771116"	2009	-133
"A50005156"	2008	-132.979
"A01010701"	2013	-132.974
"B43004852"	2013	-132.962
"B28227866"	2011	-132.948
"A25010430"	2016	-132.938
"A33615980"	2010	-132.937
"A08952012"	2013	-132.891
"A28266989"	2010	-132.862
"A08218133"	2016	-132.861
"A29005782"	2009	-132.85
"A08263469"	2017	-132.826
"A07010937"	2009	-132.794
"A41006891"	2017	-132.794
"A21006911"	2013	-132.756
"F50561091"	2014	-132.724
"A41022989"	2017	-132.653
"B17019373"	2009	-132.65
"A01292846"	2010	-132.639
"A46117792"	2010	-132.618
"A17006479"	2013	-132.57
"A08224107"	2011	-132.533
"B17048364"	2014	-132.494
"A17006479"	2012	-132.378
"A79049797"	2011	-132.37
"A08630808"	2012	-132.35
"B08326969"	2015	-132.318
"A28128486"	2014	-132.218
"A08612103"	2016	-132.186
"A28054211"	2013	-132.179
"B46118303"	2012	-132.137
"A08612061"	2009	-132.115
"B20193017"	2017	-132.08
"A08723926"	2009	-132.055
"A08093015"	2007	-132.05
"B06013841"	2016	-131.976
"B06013841"	2017	-131.976
"A11000098"	2007	-131.96
"B06013841"	2014	-131.926
"A12021366"	2015	-131.894
"A43025618"	2010	-131.885
"A41061771"	2015	-131.877
"B46069654"	2012	-131.87
"A28167567"	2011	-131.792
"A30013627"	2007	-131.785
"A08663098"	2014	-131.755
"A46068862"	2016	-131.734
"A46015830"	2009	-131.725
"A26270322"	2012	-131.529
"A45010204"	2013	-131.519
"A08522971"	2017	-131.509
"B08660409"	2015	-131.467
"A28485761"	2017	-131.439
"A08203887"	2015	-131.438
"B41441387"	2017	-131.386
"A28543809"	2015	-131.359
"B40003550"	2017	-131.353
"B03004801"	2008	-131.332
"A17034505"	2009	-131.331
"A33606682"	2016	-131.325
"A48047377"	2013	-131.319
"A03024809"	2007	-131.271
"A50049105"	2012	-131.221
"A26270322"	2010	-131.168
"A03040854"	2013	-131.167
"A12081790"	2010	-131.124
"A46131520"	2016	-131.123
"A04325494"	2017	-131.122
"A29050572"	2013	-131.111
"A50049105"	2013	-131.035
"B40003550"	2015	-131.029
"A08115578"	2013	-131.015
"A12006227"	2017	-131.007
"A28801942"	2008	-131.003
"A28054211"	2012	-131.002
"A08431090"	2015	-131
"A40004095"	2014	-130.962
"A50018837"	2007	-130.91
"A22009906"	2012	-130.909
"A09018862"	2016	-130.763
"B08642324"	2011	-130.711
"A28216992"	2009	-130.679
"A08203226"	2017	-130.649
"A08224545"	2008	-130.647
"B08013963"	2011	-130.63
"A28518819"	2013	-130.579
"A28814135"	2013	-130.477
"B28692044"	2016	-130.43
"A28670313"	2015	-130.429
"A30040562"	2014	-130.42
"A59119917"	2010	-130.418
"A15007727"	2011	-130.407
"A01002864"	2011	-130.388
"B39014709"	2011	-130.387
"F38008579"	2011	-130.361
"A78100609"	2011	-130.351
"A33606534"	2013	-130.35
"A21006911"	2016	-130.325
"A28827335"	2013	-130.275
"A50169143"	2016	-130.258
"A17011297"	2017	-130.253
"A07089592"	2008	-130.166
"B08284002"	2017	-130.159
"A08623928"	2010	-130.157
"A08621161"	2010	-130.11
"A80652423"	2011	-130.103
"A28674489"	2017	-130.089
"A35101732"	2013	-130.089
"B30034730"	2015	-130.089
"A20031126"	2012	-130.08
"A28449569"	2015	-130.057
"B60031150"	2016	-130.028
"A28440576"	2016	-130.011
"B63031660"	2015	-130
"A28148898"	2007	-130
"A03024809"	2008	-130
"A08193591"	2011	-129.933
"B03072576"	2016	-129.928
"A08296790"	2016	-129.923
"A48116420"	2013	-129.806
"A96646880"	2016	-129.792
"B04018495"	2014	-129.766
"A41050535"	2015	-129.762
"B28241495"	2013	-129.719
"A03063583"	2007	-129.71
"A28720795"	2013	-129.707
"A43020643"	2008	-129.654
"B57208878"	2013	-129.652
"B46135364"	2016	-129.646
"A43014174"	2016	-129.624
"A08005761"	2015	-129.594
"B08013963"	2012	-129.571
"A38000485"	2008	-129.55
"A08522971"	2016	-129.549
"B62263272"	2015	-129.483
"B03100831"	2011	-129.479
"A36002285"	2008	-129.432
"A46109054"	2014	-129.41
"B03078391"	2014	-129.389
"A02006617"	2015	-129.363
"A26010413"	2011	-129.277
"A09030412"	2014	-129.22
"B13004924"	2010	-129.139
"A84430107"	2017	-129.113
"A78020732"	2016	-129.093
"B06013841"	2015	-129.084
"B79033700"	2017	-129.075
"B28545994"	2014	-129.064
"A58132606"	2014	-129.055
"B17229675"	2010	-129.038
"A14004691"	2015	-129.022
"A29033420"	2011	-129
"A08182206"	2016	-128.997
"A28630374"	2012	-128.991
"A46044962"	2017	-128.936
"B97131155"	2011	-128.873
"A46105086"	2017	-128.866
"A38030680"	2012	-128.847
"B41441387"	2016	-128.838
"A29049509"	2008	-128.836
"A15027139"	2011	-128.821
"A08730277"	2014	-128.804
"A33024084"	2010	-128.787
"A28057008"	2009	-128.775
"A21007570"	2016	-128.741
"F41114141"	2007	-128.74
"A20018586"	2016	-128.73
"A17014523"	2010	-128.718
"A78526811"	2013	-128.696
"A78393840"	2014	-128.585
"A28720795"	2009	-128.581
"A07068422"	2012	-128.497
"A82405788"	2010	-128.44
"B08619405"	2012	-128.385
"A08200032"	2013	-128.384
"A33617218"	2016	-128.353
"A28827335"	2014	-128.299
"A08128035"	2011	-128.297
"A28427581"	2012	-128.294
"B45007671"	2011	-128.241
"A08737249"	2010	-128.171
"A03003530"	2015	-128.159
"B41441387"	2015	-128.074
"A09018862"	2017	-128.04
"B84150994"	2012	-128
"A34169144"	2016	-128
"A28125920"	2012	-128
"A03047628"	2017	-127.979
"B35021831"	2014	-127.947
"A04017497"	2013	-127.913
"A08421190"	2012	-127.898
"A15000227"	2013	-127.893
"A08257214"	2017	-127.878
"A48108484"	2012	-127.87
"A43001684"	2015	-127.843
"B41042698"	2016	-127.807
"B48059786"	2012	-127.8
"A50042027"	2017	-127.767
"A08511453"	2014	-127.732
"A28054211"	2011	-127.676
"A31394356"	2012	-127.616
"A07012826"	2012	-127.597
"A28416089"	2017	-127.591
"B08013963"	2013	-127.585
"B39019468"	2011	-127.573
"A02006617"	2016	-127.542
"B46171518"	2015	-127.509
"A21006861"	2008	-127.46
"B33614033"	2015	-127.456
"A01010701"	2012	-127.44
"A48115000"	2017	-127.439
"B08078396"	2017	-127.435
"B08013963"	2010	-127.401
"A08202715"	2007	-127.359
"A43037191"	2013	-127.339
"A08989782"	2013	-127.328
"A08541021"	2016	-127.323
"A03062619"	2014	-127.313
"A29519220"	2007	-127.31
"A28054211"	2014	-127.294
"A11010352"	2011	-127.293
"A45010204"	2009	-127.291
"A15070444"	2007	-127.281
"A08195927"	2011	-127.24
"B46055489"	2016	-127.237
"B47011374"	2012	-127.212
"A28375467"	2014	-127.197
"A08522971"	2015	-127.192
"B22004931"	2014	-127.168
"A28987196"	2013	-127.166
"A08637829"	2014	-127.161
"A17045972"	2014	-127.154
"A26020198"	2010	-127.126
"B23289580"	2015	-127.124
"B04001848"	2015	-127.079
"A08952012"	2014	-127.025
"B62236781"	2013	-127.01
"A30012959"	2011	-126.937
"A08200032"	2012	-126.936
"A12002887"	2011	-126.915
"A17014879"	2011	-126.868
"A08575672"	2011	-126.784
"A28381564"	2013	-126.783
"A15012305"	2014	-126.738
"A50060011"	2017	-126.699
"A39030812"	2012	-126.653
"A46072203"	2017	-126.607
"A28295038"	2017	-126.574
"A03028461"	2010	-126.542
"B08642324"	2009	-126.525
"A28651222"	2016	-126.52
"B31083199"	2011	-126.478
"A96785225"	2009	-126.476
"A27014430"	2011	-126.402
"A33604406"	2011	-126.324
"G38004297"	2007	-126.283
"A33024084"	2017	-126.242
"A08291973"	2016	-126.207
"A14022099"	2013	-126.187
"B38002655"	2016	-126.135
"A39017058"	2008	-126
"A62023262"	2013	-125.977
"A59990580"	2014	-125.928
"A36605038"	2012	-125.904
"B24008955"	2013	-125.891
"A28410850"	2015	-125.853
"A30031769"	2012	-125.786
"A28519932"	2017	-125.754
"G07065709"	2013	-125.753
"A38018404"	2007	-125.7
"A12512497"	2011	-125.647
"A08197022"	2015	-125.624
"A46105086"	2015	-125.624
"A30017636"	2012	-125.618
"A08989782"	2011	-125.612
"A08989782"	2012	-125.612
"A08989782"	2008	-125.612
"A08989782"	2010	-125.612
"A08989782"	2009	-125.612
"B50023142"	2010	-125.567
"A02006617"	2017	-125.544
"A12006227"	2008	-125.522
"B30015226"	2015	-125.511
"B08216202"	2008	-125.5
"A33008426"	2013	-125.471
"A15020795"	2009	-125.445
"A48009773"	2012	-125.441
"A48050124"	2014	-125.407
"A39008305"	2016	-125.344
"B28401222"	2014	-125.33
"A28662005"	2007	-125.306
"B43491356"	2014	-125.298
"A20036877"	2008	-125.265
"A08414906"	2008	-125.22
"A28485761"	2016	-125.2
"A20557294"	2012	-125.165
"B46071080"	2012	-125.132
"B59162701"	2013	-125.132
"A20032264"	2008	-125.132
"A28842003"	2009	-125.109
"A06003800"	2011	-125.104
"B79033700"	2016	-125.088
"B28341790"	2012	-125.066
"A01009265"	2016	-125.046
"A33610106"	2010	-125.011
"A01012830"	2009	-125.01
"B50023142"	2009	-124.94
"B50030964"	2015	-124.893
"B30603229"	2014	-124.887
"B22004113"	2009	-124.878
"B45493707"	2014	-124.847
"A28686111"	2011	-124.821
"A82198847"	2011	-124.734
"B46171518"	2014	-124.731
"A28190973"	2015	-124.723
"A28412724"	2014	-124.716
"A28211092"	2010	-124.681
"A08093015"	2009	-124.666
"A47025895"	2011	-124.655
"A28054211"	2010	-124.575
"A28381564"	2017	-124.426
"A08704520"	2015	-124.413
"A08322067"	2014	-124.41
"A08304933"	2012	-124.396
"F10027423"	2010	-124.385
"A11608999"	2014	-124.377
"B03030913"	2012	-124.376
"A28345148"	2009	-124.272
"A26022657"	2008	-124.243
"A08526345"	2017	-124.216
"B28249431"	2013	-124.207
"B41070020"	2011	-124.164
"A48115000"	2015	-124.131
"A08507741"	2008	-124.12
"B27011477"	2009	-124.111
"A18431064"	2016	-124.11
"B35011675"	2013	-124.075
"A29056769"	2012	-124.023
"A15016702"	2009	-123.962
"A31018799"	2008	-123.961
"B28218287"	2014	-123.945
"B01015221"	2016	-123.9
"A25010430"	2012	-123.9
"A41002841"	2014	-123.868
"A22001721"	2016	-123.863
"A28889939"	2013	-123.85
"B20193017"	2015	-123.752
"B21011333"	2013	-123.725
"A60016037"	2010	-123.699
"A33014176"	2016	-123.669
"A15020480"	2007	-123.638
"B30516645"	2010	-123.63
"B14030720"	2010	-123.61
"A61427183"	2010	-123.592
"B50029263"	2014	-123.558
"A08679060"	2010	-123.467
"A28562908"	2014	-123.455
"A28375467"	2015	-123.344
"A39030200"	2013	-123.296
"A08667016"	2014	-123.276
"B42001297"	2008	-123.243
"A33026980"	2008	-123.235
"B28222487"	2013	-123.184
"A62023262"	2012	-123.172
"B09019548"	2016	-123.167
"A41050535"	2016	-123.133
"A28200384"	2015	-123.122
"A08952012"	2011	-123.122
"A50060011"	2016	-123.063
"A27014430"	2010	-123.062
"B28403194"	2010	-123
"A48031140"	2015	-123
"A48031140"	2016	-123
"A41022989"	2013	-122.986
"A41006891"	2016	-122.985
"A30041719"	2013	-122.982
"A20031126"	2011	-122.892
"A07016991"	2008	-122.89
"A28404614"	2017	-122.884
"A29018207"	2007	-122.861
"A29018207"	2013	-122.853
"A30603716"	2013	-122.835
"A48031140"	2014	-122.764
"A24004947"	2010	-122.712
"A08021768"	2016	-122.652
"A20806329"	2011	-122.651
"A50169143"	2017	-122.613
"A28027811"	2015	-122.603
"A78020732"	2014	-122.6
"A08094567"	2013	-122.556
"A08078719"	2012	-122.549
"A07046659"	2016	-122.539
"A50068923"	2012	-122.5
"A11019767"	2011	-122.475
"B84886837"	2017	-122.436
"A33036807"	2011	-122.395
"A14030027"	2007	-122.377
"B12027843"	2012	-122.374
"A08021768"	2017	-122.342
"B19179662"	2015	-122.309
"A08243297"	2015	-122.296
"A31086598"	2012	-122.246
"A28033702"	2017	-122.239
"A41050535"	2017	-122.229
"A46072203"	2016	-122.227
"A30036933"	2015	-122.211
"A47438262"	2014	-122.19
"B01267277"	2011	-122.185
"B28227866"	2010	-122.147
"A01010701"	2011	-122.145
"B08059636"	2009	-122.131
"A50030543"	2014	-122.077
"A41002544"	2013	-122.075
"A30040224"	2007	-122.074
"A48119622"	2008	-122.07
"A25022369"	2010	-122.066
"A15012305"	2013	-122.048
"A36605038"	2013	-122.027
"A28827335"	2012	-122.022
"A46131520"	2014	-122.011
"A48031140"	2017	-122
"A08480287"	2012	-121.925
"A28686111"	2013	-121.918
"A18020271"	2013	-121.904
"A08217432"	2014	-121.844
"A41080144"	2012	-121.819
"A33008921"	2015	-121.744
"A50013671"	2016	-121.705
"A35101732"	2012	-121.657
"B09019548"	2014	-121.641
"B08584989"	2011	-121.604
"B36684157"	2013	-121.587
"A08225278"	2010	-121.549
"A01008069"	2017	-121.53
"A30032130"	2010	-121.521
"B08413247"	2014	-121.51
"A28321313"	2017	-121.493
"A80352420"	2009	-121.487
"A08193591"	2013	-121.48
"A80352420"	2013	-121.412
"A24010381"	2013	-121.355
"A28054211"	2009	-121.351
"A31003247"	2008	-121.34
"A28456119"	2016	-121.296
"A28410850"	2016	-121.288
"A08182206"	2015	-121.223
"A21000427"	2008	-121.194
"A78753514"	2011	-121.147
"A33606682"	2014	-121.12
"A39031620"	2016	-121.037
"A08026635"	2013	-121.026
"B07025315"	2010	-121.02
"A08719452"	2017	-121.006
"A34169144"	2015	-121
"B24007049"	2017	-120.974
"F10027423"	2009	-120.959
"A28900975"	2010	-120.958
"A08952012"	2015	-120.919
"B35005040"	2014	-120.804
"B29014826"	2012	-120.799
"A17034844"	2011	-120.782
"B29006574"	2017	-120.778
"B50030964"	2013	-120.773
"B48108898"	2016	-120.757
"A28412724"	2015	-120.724
"A14026199"	2016	-120.678
"B31001290"	2007	-120.65
"A15027139"	2010	-120.645
"A08093254"	2016	-120.641
"A08257388"	2014	-120.636
"A31009913"	2010	-120.608
"B31065980"	2017	-120.6
"A26270322"	2011	-120.58
"A50016930"	2013	-120.506
"B46054508"	2011	-120.506
"B46157285"	2014	-120.502
"B04028734"	2009	-120.488
"A08484107"	2009	-120.479
"A42004598"	2011	-120.406
"B06422877"	2016	-120.362
"A28266989"	2008	-120.313
"F50561091"	2015	-120.301
"A17006479"	2011	-120.253
"A08243297"	2017	-120.23
"A39031620"	2017	-120.194
"B35011675"	2012	-120.188
"A08193591"	2012	-120.18
"A07010531"	2014	-120.152
"A15009665"	2010	-120.12
"A39008305"	2017	-120.102
"B31065980"	2015	-120.075
"A32006611"	2016	-120.043
"A08514135"	2011	-120.037
"A60850500"	2014	-120.029
"A08285157"	2010	-120.008
"A28375913"	2013	-120
"A08012270"	2008	-120
"A50016930"	2012	-119.992
"A03012614"	2013	-119.983
"B28579506"	2010	-119.965
"B36623148"	2013	-119.962
"B12019485"	2012	-119.887
"A08606378"	2009	-119.869
"B17374893"	2017	-119.82
"B79033700"	2015	-119.81
"A15070444"	2008	-119.784
"B08527194"	2016	-119.772
"B28227866"	2007	-119.74
"A09006859"	2010	-119.723
"A46094207"	2013	-119.718
"A34009191"	2008	-119.649
"B37012069"	2007	-119.61
"B38030045"	2016	-119.609
"A46023594"	2010	-119.577
"A08200032"	2010	-119.549
"B30558290"	2008	-119.54
"B31065980"	2016	-119.492
"A80652423"	2013	-119.451
"B46171518"	2017	-119.427
"B36009942"	2016	-119.348
"A07012826"	2011	-119.294
"B59162701"	2012	-119.287
"A15070444"	2009	-119.279
"B50023142"	2007	-119.19
"B50030964"	2012	-119.163
"A26001867"	2015	-119.162
"A28133023"	2013	-119.119
"B43004852"	2014	-119.066
"B46171518"	2016	-119.049
"A08203887"	2014	-119.027
"A07068430"	2013	-118.99
"A08128035"	2010	-118.936
"A60401585"	2012	-118.88
"A29033420"	2010	-118.873
"A08511453"	2015	-118.811
"A08005761"	2007	-118.79
"A28698884"	2010	-118.759
"A30035547"	2016	-118.737
"A46068862"	2015	-118.719
"A15013618"	2008	-118.692
"A20557294"	2015	-118.661
"A50016930"	2011	-118.634
"A07013055"	2009	-118.628
"B81542813"	2011	-118.622
"B50001874"	2010	-118.621
"A46044814"	2014	-118.595
"A50005156"	2007	-118.584
"B08284002"	2014	-118.578
"B28044204"	2014	-118.56
"A20049755"	2008	-118.506
"A50040013"	2015	-118.454
"A12050324"	2012	-118.434
"A08612103"	2010	-118.377
"A02006617"	2014	-118.359
"B46055448"	2017	-118.357
"B08284002"	2012	-118.347
"A48034110"	2013	-118.333
"A08291973"	2012	-118.318
"B46023677"	2008	-118.3
"A46072203"	2015	-118.27
"B46118303"	2011	-118.209
"B59162701"	2014	-118.15
"A28054211"	2008	-118.13
"B08988149"	2014	-118.112
"A50016930"	2010	-118.071
"B31065980"	2014	-118.071
"A08704520"	2013	-118.013
"B08660409"	2016	-118.006
"B46055489"	2015	-118
"A27199140"	2013	-117.987
"A28475770"	2008	-117.98
"B07985609"	2011	-117.965
"F10027423"	2008	-117.95
"A50040013"	2017	-117.927
"A43055565"	2016	-117.891
"A30418255"	2017	-117.866
"A20024568"	2015	-117.859
"A01010164"	2010	-117.852
"A42004598"	2010	-117.852
"A18012930"	2011	-117.842
"B58613076"	2014	-117.827
"A28085686"	2016	-117.807
"A08211112"	2016	-117.794
"A08288490"	2008	-117.788
"B48108898"	2017	-117.782
"A28547115"	2009	-117.77
"A25010430"	2011	-117.77
"A28827335"	2008	-117.731
"A17034505"	2008	-117.704
"A33606682"	2017	-117.692
"A46131520"	2013	-117.663
"A41061771"	2017	-117.618
"A43055565"	2017	-117.572
"B48108898"	2014	-117.554
"A08651762"	2013	-117.55
"A48092886"	2014	-117.398
"A41084740"	2008	-117.362
"A41006891"	2013	-117.327
"A28399434"	2008	-117.324
"A45017241"	2008	-117.322
"A17009093"	2012	-117.316
"A48115000"	2016	-117.263
"A08093015"	2008	-117.252
"B27008390"	2017	-117.204
"A82501545"	2012	-117.17
"A60853413"	2015	-117.148
"A12323408"	2013	-117.136
"B31066798"	2015	-117.097
"B28218287"	2015	-117.051
"A80359730"	2017	-117.03
"B41042698"	2013	-117.021
"A14004691"	2013	-117.019
"A78020732"	2015	-116.86
"G07065709"	2012	-116.842
"B39021217"	2016	-116.836
"A28749976"	2008	-116.778
"B50030964"	2011	-116.738
"A20034286"	2010	-116.733
"A20031126"	2010	-116.696
"B27013556"	2015	-116.684
"B17048364"	2016	-116.665
"B08584989"	2012	-116.621
"B60031150"	2017	-116.598
"A15007750"	2013	-116.545
"A26001867"	2017	-116.52
"B38017554"	2015	-116.518
"A17003757"	2007	-116.46
"A48059950"	2010	-116.435
"B36603629"	2014	-116.387
"A14023139"	2008	-116.373
"A41069352"	2007	-116.37
"A38485827"	2017	-116.365
"A20779849"	2017	-116.341
"A08211112"	2017	-116.322
"A28579191"	2011	-116.321
"A33025701"	2017	-116.286
"A46015830"	2008	-116.217
"A08243297"	2016	-116.213
"A28440576"	2009	-116.189
"A28292084"	2012	-116.166
"A28485761"	2015	-116.162
"A17045204"	2013	-116.148
"A19011626"	2016	-116.119
"B03032620"	2013	-116.114
"A08322067"	2015	-116.086
"B82207275"	2007	-116
"B08373250"	2014	-115.98
"A32226037"	2011	-115.937
"B08642324"	2010	-115.906
"B83588657"	2016	-115.905
"C28863686"	2014	-115.854
"A17055153"	2007	-115.82
"A30014047"	2007	-115.809
"B41070020"	2012	-115.798
"B08619405"	2011	-115.72
"A28329480"	2010	-115.701
"A18024919"	2009	-115.563
"A36060754"	2012	-115.526
"A53283511"	2015	-115.524
"A96646880"	2017	-115.509
"B41072471"	2007	-115.49
"A46105086"	2007	-115.473
"A12015673"	2011	-115.468
"A11019767"	2010	-115.456
"A08278731"	2009	-115.444
"A08061731"	2011	-115.394
"A08574881"	2016	-115.361
"A08555344"	2011	-115.322
"A08273898"	2014	-115.3
"A01001072"	2010	-115.238
"B46140885"	2010	-115.147
"A26000174"	2010	-115.146
"A08687204"	2012	-115.045
"A28011872"	2010	-115.021
"A28019461"	2014	-115
"A28375913"	2012	-115
"A06017040"	2009	-114.997
"A18008334"	2013	-114.993
"A43702745"	2015	-114.984
"B62059498"	2011	-114.96
"A41069352"	2009	-114.943
"A47000054"	2014	-114.915
"A28054211"	2007	-114.91
"A08126492"	2015	-114.889
"A08394157"	2014	-114.876
"B41065418"	2014	-114.862
"A48006423"	2008	-114.85
"A36614691"	2014	-114.842
"B36009942"	2017	-114.837
"B38002655"	2015	-114.824
"A41037672"	2014	-114.824
"A08691503"	2014	-114.811
"B01267277"	2013	-114.802
"B47011374"	2007	-114.78
"A12010948"	2012	-114.74
"A29025368"	2009	-114.726
"A15072622"	2016	-114.717
"A47025895"	2010	-114.698
"B31067168"	2014	-114.682
"A14030027"	2013	-114.651
"B79863288"	2014	-114.541
"B31684020"	2012	-114.493
"A12022885"	2015	-114.491
"A12016549"	2010	-114.489
"A35098482"	2015	-114.477
"A41069352"	2010	-114.445
"A30018345"	2014	-114.439
"A12015673"	2009	-114.428
"B30603229"	2015	-114.403
"A01008234"	2013	-114.389
"A01010701"	2017	-114.376
"B17616814"	2014	-114.358
"A41055377"	2014	-114.336
"B82274135"	2016	-114.331
"F10027423"	2007	-114.2
"A28399434"	2013	-114.162
"A46068862"	2014	-114.129
"B47030770"	2015	-114.025
"A50040013"	2014	-114.021
"A07012826"	2010	-114.019
"B38002655"	2014	-114.018
"A28396042"	2013	-114
"A78831369"	2013	-114
"B38380473"	2008	-113.963
"A08374332"	2013	-113.88
"B62263272"	2011	-113.813
"A20031126"	2009	-113.81
"B41072471"	2011	-113.783
"A36600500"	2010	-113.758
"A58253816"	2010	-113.753
"A28029122"	2014	-113.715
"A33025701"	2016	-113.706
"A40002701"	2008	-113.642
"A32006413"	2015	-113.616
"B30041115"	2008	-113.607
"A28184661"	2007	-113.602
"A01009265"	2017	-113.596
"A46165304"	2015	-113.592
"B03072576"	2017	-113.459
"A08556896"	2013	-113.412
"A15012305"	2017	-113.388
"A08704520"	2016	-113.384
"A27007731"	2017	-113.257
"A18024919"	2008	-113.243
"A28096378"	2011	-113.228
"A08452500"	2011	-113.213
"A48034110"	2012	-113.2
"A08612103"	2014	-113.173
"A08243297"	2014	-113.154
"A41010521"	2010	-113.127
"B14016315"	2015	-113.116
"A08138042"	2008	-113.068
"B41008970"	2013	-113.051
"A46126686"	2016	-113.036
"B12027843"	2011	-112.98
"B11469491"	2008	-112.971
"A30040562"	2016	-112.965
"B38024089"	2015	-112.953
"A04017497"	2010	-112.944
"A30040562"	2015	-112.882
"B79863288"	2015	-112.873
"B01267277"	2008	-112.864
"A31449002"	2013	-112.832
"B03019601"	2017	-112.7
"B81907776"	2014	-112.692
"A07051253"	2013	-112.637
"B38008983"	2010	-112.535
"B46069654"	2010	-112.533
"A28456119"	2017	-112.425
"A07051253"	2012	-112.415
"A28085686"	2014	-112.342
"A59320143"	2009	-112.295
"A09018862"	2015	-112.282
"A01006055"	2017	-112.279
"A50036037"	2010	-112.248
"A04001897"	2010	-112.232
"A17041708"	2008	-112.163
"A11006095"	2011	-112.144
"A46105508"	2017	-112.118
"V95436002"	2017	-112.09
"B48045942"	2012	-112.089
"A28674968"	2017	-112.073
"B35015262"	2012	-112.049
"B29682135"	2013	-112.016
"A28019461"	2015	-112
"A78067188"	2009	-112
"B20193017"	2016	-111.994
"B50029263"	2012	-111.96
"B46163655"	2011	-111.922
"A30603716"	2012	-111.9
"A08482952"	2014	-111.89
"B46149555"	2011	-111.887
"A28550960"	2016	-111.861
"A50060011"	2015	-111.825
"B27008408"	2011	-111.825
"A48092886"	2015	-111.822
"A28617801"	2014	-111.8
"A08522971"	2014	-111.677
"A08193591"	2010	-111.663
"B01015221"	2017	-111.66
"A38018404"	2009	-111.642
"A35101732"	2011	-111.621
"B41007576"	2014	-111.612
"B46090791"	2010	-111.611
"B50030964"	2010	-111.578
"A46156048"	2014	-111.53
"A46055992"	2012	-111.529
"A28117026"	2009	-111.52
"A07059058"	2012	-111.418
"B12536934"	2012	-111.374
"A08766099"	2012	-111.364
"B27011477"	2007	-111.36
"A33036807"	2013	-111.357
"A07016991"	2007	-111.34
"A82131913"	2017	-111.33
"A79049797"	2016	-111.254
"A22013072"	2008	-111.19
"B36614816"	2013	-111.15
"V41812744"	2013	-111.105
"A30018147"	2010	-111.066
"A33602905"	2017	-111.057
"A35004571"	2011	-111
"A25010430"	2010	-110.997
"A17038035"	2014	-110.948
"B38318572"	2008	-110.895
"A08257214"	2014	-110.847
"A30017636"	2011	-110.841
"A20015368"	2017	-110.798
"A28670636"	2011	-110.758
"A28375913"	2015	-110.726
"A50032002"	2010	-110.726
"A28400323"	2007	-110.71
"A10011641"	2015	-110.708
"A48119143"	2013	-110.687
"A30012645"	2010	-110.63
"A46105508"	2016	-110.585
"A48102792"	2017	-110.544
"A28133023"	2012	-110.53
"A08851321"	2013	-110.495
"A23022783"	2009	-110.482
"A04006706"	2014	-110.48
"A15072622"	2017	-110.453
"B31083199"	2010	-110.424
"A08296790"	2008	-110.412
"A07012826"	2009	-110.389
"B59162701"	2011	-110.379
"A08513541"	2011	-110.322
"A31001266"	2010	-110.3
"A31180060"	2014	-110.3
"B46157533"	2011	-110.297
"B11018462"	2008	-110.294
"A41022989"	2012	-110.287
"B32008179"	2014	-110.27
"A08952012"	2016	-110.176
"B24399305"	2007	-110.16
"B09019548"	2017	-110.079
"A28375913"	2011	-110
"A85280253"	2015	-110
"A43621416"	2013	-110
"A08541021"	2011	-109.992
"B46157285"	2017	-109.977
"A20779849"	2016	-109.792
"B35011675"	2011	-109.713
"A08290405"	2014	-109.711
"A28060283"	2014	-109.702
"A03035417"	2012	-109.681
"A29035896"	2012	-109.676
"A17005968"	2011	-109.67
"A33602905"	2013	-109.64
"B46055943"	2013	-109.606
"A33609587"	2007	-109.588
"B20049615"	2013	-109.578
"A36614691"	2015	-109.545
"A08291973"	2017	-109.544
"A60850500"	2017	-109.533
"A29051067"	2015	-109.521
"B28218287"	2016	-109.514
"A35028208"	2013	-109.51
"A96646880"	2015	-109.497
"A50036037"	2014	-109.491
"A01002864"	2010	-109.487
"B35023068"	2010	-109.475
"A08413403"	2017	-109.472
"A20034286"	2016	-109.423
"B03030913"	2013	-109.405
"A46077053"	2010	-109.371
"A33615923"	2015	-109.342
"A43014174"	2013	-109.336
"B28419703"	2007	-109.305
"B46111035"	2009	-109.274
"B27013556"	2017	-109.261
"A09018862"	2014	-109.259
"A15027139"	2009	-109.224
"A46074647"	2016	-109.21
"A28375467"	2010	-109.204
"B07025315"	2009	-109.2
"A28475770"	2007	-109.199
"B28689370"	2015	-109.181
"B36853935"	2016	-109.166
"A28085686"	2015	-109.159
"A20031126"	2007	-109.135
"A12283388"	2008	-109.09
"B03006681"	2017	-109.044
"A46068284"	2009	-109
"A29025368"	2014	-108.951
"A28457059"	2010	-108.915
"A12002887"	2010	-108.889
